metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1756887880,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887880,1.000000,,,,,,,,,,,,,,,,
vus,1756887881,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887881,1.000000,,,,,,,,,,,,,,,,
vus,1756887882,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887882,1.000000,,,,,,,,,,,,,,,,
vus,1756887883,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887883,1.000000,,,,,,,,,,,,,,,,
vus,1756887884,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887884,1.000000,,,,,,,,,,,,,,,,
vus,1756887885,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887885,1.000000,,,,,,,,,,,,,,,,
http_reqs,1756887886,1.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_duration,1756887886,5854.788300,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_blocked,1756887886,689.769100,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_connecting,1756887886,369.253300,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_tls_handshaking,1756887886,305.928400,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_sending,1756887886,0.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_waiting,1756887886,5599.269200,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_receiving,1756887886,255.519100,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_failed,1756887886,0.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,200,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
checks,1756887886,1.000000,login status was 200,,,,,,,,default,,,,,,,
vus,1756887886,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887886,1.000000,,,,,,,,,,,,,,,,
vus,1756887887,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887887,1.000000,,,,,,,,,,,,,,,,
http_reqs,1756887888,1.000000,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
http_req_duration,1756887888,291.282100,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
http_req_blocked,1756887888,800.499800,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
http_req_connecting,1756887888,257.008700,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
http_req_tls_handshaking,1756887888,263.552900,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
http_req_sending,1756887888,0.000000,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
http_req_waiting,1756887888,288.241600,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
http_req_receiving,1756887888,3.040500,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
http_req_failed,1756887888,0.000000,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/SessionTransfer/sessiontransfer.asp?Path=Actions/Home&ToMvc=True,,
vus,1756887888,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887888,1.000000,,,,,,,,,,,,,,,,
http_reqs,1756887889,1.000000,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
http_req_duration,1756887889,1110.330300,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
http_req_blocked,1756887889,0.000000,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
http_req_connecting,1756887889,0.000000,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
http_req_tls_handshaking,1756887889,0.000000,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
http_req_sending,1756887889,0.000000,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
http_req_waiting,1756887889,1110.330300,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
http_req_receiving,1756887889,0.000000,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
http_req_failed,1756887889,1.000000,,,1401,false,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,HTTP/1.1,default,,401,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/APC/Actions/Home,,
checks,1756887889,0.000000,session transfer status was 200,,,,,,,,default,,,,,,,
vus,1756887889,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887889,1.000000,,,,,,,,,,,,,,,,
http_reqs,1756887889,1.000000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
http_req_duration,1756887889,262.376000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
http_req_blocked,1756887889,0.000000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
http_req_connecting,1756887889,0.000000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
http_req_tls_handshaking,1756887889,0.000000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
http_req_sending,1756887889,0.000000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
http_req_waiting,1756887889,262.376000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
http_req_receiving,1756887889,0.000000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
http_req_failed,1756887889,1.000000,,,1401,false,,GET,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,HTTP/2.0,default,,401,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/APC/Reporting/SessionResults,,
checks,1756887889,0.000000,SessionResults,,,,,,,,default,,,,,,,
vus,1756887890,1.000000,,,,,,,,,,,,,,,,
vus_max,1756887890,1.000000,,,,,,,,,,,,,,,,
http_reqs,1756887891,1.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_duration,1756887891,701.991200,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_blocked,1756887891,0.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_connecting,1756887891,0.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_tls_handshaking,1756887891,0.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_sending,1756887891,0.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_waiting,1756887891,701.991200,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_receiving,1756887891,0.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_req_failed,1756887891,0.000000,,,,true,,POST,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,HTTP/2.0,default,,302,,tls1.3,https://cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/default.asp?Post=True,,
http_reqs,1756887891,1.000000,,,,true,,GET,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/bkend.asp?pdd_diff=&terminal=AEXSBQECITCOJKFG&terminalstatus=X&flags=N&HasLink1500=False&HasLinkUB=False&terminals_processortype=8&msgcount=0&priorMonthClaimCnt=202&aggregator=0&LoginType=web&loggedInPractice=WILLIAMS%20CHIROPRACTIC%20%20BILLING&firstLogin=&newTerminal=&saleStatus=&fromLogin=TRUE&autofilepath=&tok102=40409742171c874f06f43587091aafa7c777adcafed&showNews=True&isMastVar=&campaignID=0&surveyID=0&VARid=&updatePassword=&terminal_chngPW=&claimNumber=&redirectPage=&LastLoginDate=2025-09-03%2003:22:00&InSyncSingleSignOn=&AbilityNew=No&AbilityClientType=4,HTTP/1.1,default,,302,,tls1.3,https://wapp-cm.claimsmgmt-qual.aws53.inovalon.global/mdonline/bkend.asp?pdd_diff=&terminal=AEXSBQECITCOJKFG&terminalstatus=X&flags=N&HasLink1500=False&HasLinkUB=False&terminals_processortype=8&msgcount=0&priorMonthClaimCnt=202&aggregator=0&LoginType=web&loggedInPractice=WILLIAMS%20CHIROPRACTIC%20%20BILLING&firstLogin=&newTerminal=&saleStatus=&fromLogin=TRUE&autofilepath=&tok102=40409742171c874f06f43587091aafa7c777adcafed&showNews=True&isMastVar=&campaignID=0&surveyID=0&VARid=&updatePassword=&terminal_chngPW=&claimNumber=&redirectPage=&LastLoginDate=2025-09-03%2003:22:00&InSyncSingleSignOn=&AbilityNew=No&AbilityClientType=4,,
